name,stock,deal,free,mrp,rate,company,batch,exp,supplier
ACIVIR-DT 800MG TAB,12,0,0,185,132.14,CIPLA (CRESTA),SN91228,01-07-2022,CIPLA LIMITED  HYDERABAD
ACIVIR-DT 800MG TAB,10,0,0,185,132.14,CIPLA (CRESTA),SN91324,01-07-2022,CIPLA LIMITED  HYDERABAD
ACNESTAR GEL,73,5,1,100,71.43,MANKIND(SPECIAL),K2AIS037,01-10-2021,MANKIND PHARMA (SPECIAL)      HYDERABAD
ACNESTAR SOAP,90,5,1,70,47.46,MANKIND(SPECIAL),A5IBS1585,01-10-2022,MANKIND PHARMA (SPECIAL)      HYDERABAD
ADVENT DRY SYRUP,1,9,1,59.42,42.44,CIPLA(NURTURE 1),AFC9166,01-04-2021,SARADA PHARMACY      MADHIRA
ADVENT DRY SYRUP,20,9,1,59.42,42.44,CIPLA(NURTURE 1),AFC9193,01-04-2021,CIPLA LIMITED  HYDERABAD
ADVENT FORTE-457 SYRUP,15,0,0,160.12,114.37,CIPLA(RESP AR),KP90529,01-05-2021,CIPLA LIMITED  HYDERABAD
AEROCORT CFC FREE INH,40,0,0,205.7,146.93,CIPLA(RESP 3 LEGACY),SN91376,31-07-2021,CIPLA LIMITED  HYDERABAD
AEROCORT CFC FREE INH,100,0,0,205.7,146.93,CIPLA(RESP 3 LEGACY),SN91970,01-10-2021,CIPLA LIMITED  HYDERABAD
AEROCORT FORTE ROT,27,0,0,78.65,56.18,CIPLA(RESP 3 LEGACY),SA94565,31-10-2021,CIPLA LIMITED  HYDERABAD
AEROCORT FORTE ROT,-1,0,0,78.65,56.17,CIPLA(RESP 3 LEGACY),SA00149,01-12-2021,CIPLA LIMITED  HYDERABAD
AEROCORT FORTE ROT,1,0,0,78.65,56.17,CIPLA(RESP 3 LEGACY),SA01602,01-03-2022,CIPLA LIMITED  HYDERABAD
AEROCORT-ROTACAPS,420,0,0,42.97,30.69,CIPLA(RESP 3 LEGACY),SA94558,01-10-2021,CIPLA LIMITED  HYDERABAD
AL5ZYME CAPS,30,0,0,92.1,65.78,ALEMBIC LTD(MAXIS DIVISION),EE9249016,01-04-2021,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
AL5ZYME LIQUID,24,0,0,147,99.66,ALEMBIC LTD(MAXIS DIVISION),CA9361016,01-02-2021,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
ALCIPRO 500MG TAB,60,10,1,39.93,29.95,ALKEM (PHARMA),19442903,01-10-2023,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
ALDAY TAB,250,10,1,17.44,13.08,SOL HEALTH PHARMACY LTD.,SHAL1903,01-06-2021,LAKSHMI BALAJI CORPORATION VIJAYAWADA
ALDAY TAB,188,10,2,18.1,13.58,SOL HEALTH PHARMACY LTD.,SHAL1909,01-11-2021,LAKSHMI VENKATESWARA PHARMA   HYDERABAD
ALDAY TAB,-5,10,2,18.1,13.58,SOL HEALTH PHARMACY LTD.,SHAL2001,01-12-2021,PRADEEP MEDICAL AGENCIES      HANAMKONDA
ALERID SYR,99,9,1,38.92,27.8,CIPLA (SPEETRACARE+1),J490293,01-11-2022,CIPLA LIMITED  HYDERABAD
ALERID SYR,126,0,0,19.46,13.9,CIPLA (SPEETRACARE+1),J590878,01-10-2022,CIPLA LIMITED  HYDERABAD
ALERID TAB,76,9,1,18.06,12.9,CIPLA (SPEETRACARE+1),SB91307,01-10-2022,CIPLA LIMITED  HYDERABAD
ALERID-D TAB,44,4,1,43.56,31.11,CIPLA (SPEETRACARE+1),GL9666,01-10-2021,CIPLA LIMITED  HYDERABAD
ALEVO 250MG TABS,20,0,0,48.3,34.5,ALKEM (ARISE),19441396,01-05-2022,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
ALEVO 500MG TAB,16,0,0,88.37,63.12,ALKEM (ARISE),19441651,01-03-2022,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
ALEX COUGH LOZENGES,20,9,1,93,66.43,GLENMARK (RESPICARE),73190066,01-08-2022,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
ALEX JUNIOR SYR,94,11,1,87,62.14,GLENMARK (RESPICARE),5192258,30-11-2021,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
ALEX SYRUP,45,14,1,108,77.14,GLENMARK (RESPICARE),11200014,01-12-2021,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
ALEX+DROPS (PD),7,14,1,66.5,47.5,GLENMARK (RESPICARE),62190007,01-08-2021,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
ALEX+DROPS (PD),60,14,1,66.5,47.5,GLENMARK (RESPICARE),62190008,01-08-2021,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
ALEX-P DROPS,60,14,1,61,43.57,GLENMARK (RESPICARE),51190408,01-06-2021,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
ALEX-P SYRUP,7,14,1,82,58.57,GLENMARK (RESPICARE),11192406,01-05-2021,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
ALFUSIN D TABS,7,0,0,493.68,352.63,CIPLA(UROLOGY),SA94659,01-10-2021,CIPLA LIMITED  HYDERABAD
ALKARATE SYRUP,11,10,1,69,49.29,MACLEODS (PHARMA) DIVISION,KAU908A,01-07-2021,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
ALKARATE SYRUP,20,10,1,75.75,54.1,MACLEODS (PHARMA) DIVISION,KAU909A,01-10-2021,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
ALLEGRA 120MG TAB,45,0,0,168.17,120.12,AVENTIS PHARMA,9NA0088,01-10-2021,SANOFI INDIA LIMITED          HYDERABAD
ALLEGRA 180MG TABS,17,0,0,192.38,137.42,AVENTIS PHARMA,9NA0108,01-11-2021,SANOFI INDIA LIMITED          HYDERABAD
ALOGRACE CREAM,24,11,1,150,101.7,MANKIND(LIFESTAR),A2JJS059,01-10-2021,MANKIND PHARMA (LIFESTAR)HYDERABAD
ALOJA 12.5 TABS,30,0,0,80,57.14,INDOCO (FOCUS),ANF1J96,01-09-2021,
ALOJA 25 MG TABS,30,0,0,120,85.71,INDOCO (FOCUS),ANE1J96,01-09-2021,
ALPROVIT PLUS SYP,60,10,1,140,100,ALKEM (ARISE),APS19021C,01-04-2021,ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
ALPROX 0.25MG TABS,15,0,0,21.9,15.64,TORRENT (VISTA),2E09F010,01-04-2022,
ALPROX 0.5MG TABS,46,0,0,50.6,36.14,TORRENT (VISTA),2E10F018,01-06-2022,TORRENT PHARMACEUTICALS LTD   HYDERABAD
ALTHROCIN 250MG TAB,18,0,0,43.1,30.78,ALEMBIC LTD(MAXIS DIVISION),1908001619,01-11-2021,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
ALTHROCIN 250MG TAB,50,0,0,43.1,30.78,ALEMBIC LTD(MAXIS DIVISION),1908001619,01-11-2021,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
ALTHROCIN 500MG TAB,34,0,0,84,60,ALEMBIC LTD(MAXIS DIVISION),2008000196,01-01-2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
ALTHROCIN 500MG TAB,30,0,0,84,60,ALEMBIC LTD(MAXIS DIVISION),2008000198,01-01-2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
ALTHROCIN 500MG TAB,2,0,0,84,60,ALEMBIC LTD(MAXIS DIVISION),2008000479,01-02-2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
ALTHROCIN 500MG TAB,-2,0,0,84,60,ALEMBIC LTD(MAXIS DIVISION),2008000657,01-03-2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
ALTHROCIN DROPS,14,0,0,35.5,25.36,ALEMBIC LTD(MAXIS DIVISION),2008000169,01-01-2022,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
ALTHROCIN KID 125MG,44,0,0,33.45,23.9,ALEMBIC LTD(MAXIS DIVISION),1908001131,01-08-2021,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
ALTHROCIN SYR,17,0,0,45.2,32.29,ALEMBIC LTD(MAXIS DIVISION),1908001596,01-11-2021,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
ALTHROCIN SYR,84,0,0,45.2,32.29,ALEMBIC LTD(MAXIS DIVISION),2008000136,01-12-2021,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
AMARYL 1MG TAB,20,0,0,117.94,84.24,AVENTIS PHARMA,9NA0022,01-05-2022,SANOFI INDIA LIMITED          HYDERABAD
AMARYL 2MG TAB,4,0,0,179.76,128.4,AVENTIS PHARMA,9NA0015,01-10-2021,
AMARYL MV2 TABS,2,0,0,176.4,126,AVENTIS PHARMA,AMC19036,01-05-2021,SANOFI INDIA LIMITED          HYDERABAD
AMARYL-M 1MG TAB,30,0,0,150.54,107.53,AVENTIS PHARMA,0NA0003,01-12-2021,SANOFI INDIA LIMITED          HYDERABAD
AMARYL-M 2MG TAB,30,0,0,247.74,176.96,AVENTIS PHARMA,9NA0071,01-11-2021,SANOFI INDIA LIMITED          HYDERABAD
AMBRODIL DROPS,28,0,0,28.95,20.68,ARISTO (MAIN FORCE 3),M122G029,01-06-2021,
AMBRODIL S SYR,273,0,0,25.25,18.03,ARISTO (MAIN FORCE 3),DPB200315,01-07-2022,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
AMBRODIL SYR,36,0,0,58,41.43,ARISTO (MAIN FORCE 3),M120L069,01-04-2022,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
AMBRODIL SYR,1,0,0,58,41.43,ARISTO (MAIN FORCE 3),M120L069,01-04-2022,SARADA PHARMACY      MADHIRA
AMICIN 100MG VIAL,416,10,7,24.2,18.44,BIOCHEM PHARMA,CBV1621,01-05-2022,ZYDUS HEALTHCARE LIMITED      HYDERABAD
AMICIN 250MG VIAL,400,10,7,38.5,29.33,BIOCHEM PHARMA,CBV1619,01-05-2022,ZYDUS HEALTHCARE LIMITED      HYDERABAD
AMICIN 500MG VIAL,288,5,9,101.6,77.41,BIOCHEM PHARMA,CBV1499,01-03-2022,ZYDUS HEALTHCARE LIMITED      HYDERABAD
AMIFRU-40MG TAB,42,0,0,8.55,6.11,TORRENT PHARMA,2JF8F014,01-09-2022,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMIFRU-40MG TAB,120,0,0,8.55,6.11,TORRENT PHARMA,2JF8F014,01-09-2022,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMIFRU-40MG TAB,6,0,0,8.55,6.11,TORRENT PHARMA,2JF8F020,01-11-2022,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMIFRU-40MG TAB,-6,0,0,8.55,6.11,TORRENT PHARMA,2JF8F022,01-11-2022,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMLOKIND- 5 MG  TAB,110,0,0,13.03,9.31,MANKIND PHARMA LTD.,B0IAS229,01-10-2022,MANKIND PHARMA LTD HYDERABAD
AMLOKIND-2.5MG TABS,12,0,0,28.93,20.66,MANKIND PHARMA LTD.,A0AGS028,01-09-2021,MANKIND PHARMA LTD HYDERABAD
AMLOKIND-AT TABS,1170,11,1,25.58,18.27,MANKIND PHARMA LTD.,A9IAS259,01-11-2021,MANKIND PHARMA LTD HYDERABAD
AMLOKIND-AT TABS,2,11,1,25.58,18.27,MANKIND PHARMA LTD.,A9IAT043,01-02-2022,MANKIND PHARMA LTD HYDERABAD
AMLOKIND-AT TABS,-2,11,1,25.58,18.27,MANKIND PHARMA LTD.,A9IAT075,01-02-2022,SARADA PHARMACY      MADHIRA
AMLOKIND-H,2,0,0,28.97,20.69,MANKIND PHARMA LTD.,A3AGS023,01-09-2021,MANKIND PHARMA LTD HYDERABAD
AMLOKIND-H,7,0,0,28.97,20.69,MANKIND PHARMA LTD.,A3AGS024,01-09-2021,MANKIND PHARMA LTD HYDERABAD
AMLOKIND-L TABS,1,0,0,52.58,37.56,MANKIND PHARMA LTD.,A3AFS009,01-04-2021,SARADA PHARMACY      MADHIRA
AMLOKIND-L TABS,12,0,0,52.58,37.56,MANKIND PHARMA LTD.,H6IAS001,01-03-2021,MANKIND PHARMA LTD HYDERABAD
AMLONG H TAB ***,22,0,0,97,69.29,MICRO LABS,AMES0049,01-10-2021,
AMLONG TAB***,2,0,0,41.16,29.41,MICRO LABS,AMBS0335,01-07-2021,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA
AMLONG TAB***,17,0,0,42.84,30.6,MICRO LABS,AMBS0432,01-06-2022,LAKSHMI BALAJI CORPORATION VIJAYAWADA
AMLONG-A TAB**,40,0,0,112,80,MICRO LABS,AMDS0119,01-01-2022,LAKSHMI BALAJI CORPORATION VIJAYAWADA
AMLOPRES 5MG TAB,41,0,0,85.68,61.2,CIPLA(VITALIS 2),SN91399,01-07-2022,
AMLOPRES TL TAB,30,0,0,91.65,65.46,CIPLA(VITALIS 2),BA00306,31-10-2021,CIPLA LIMITED  HYDERABAD
AMLOPRES-AT TABS,60,0,0,122.81,87.72,CIPLA(VITALIS 2),SA00470,01-12-2022,CIPLA LIMITED  HYDERABAD
AMLOPRESS-AT 25 TAB,13,0,0,83.05,59.32,CIPLA(VITALIS 2),SA93714,01-08-2022,CIPLA LIMITED  HYDERABAD
AMLOSAFE  2.5MG TABS,6,0,0,18.05,12.9,ARISTO (OTSIRA),S117D019,01-03-2021,
AMLOSAFE  5MG TABS,20,0,0,27.5,19.64,ARISTO (OTSIRA),S118K039,01-09-2021,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
AMLOVAS 2.5MG TAB,6,0,0,27.21,19.43,MACLEODS (PROCARE) AHT,KAA909B,30-11-2023,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
AMLOVAS 5MG TAB,18,0,0,42.84,30.6,MACLEODS (PROCARE) AHT,KAB2001B,01-12-2023,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
AMLOVAS 5MG TAB,-5,0,0,42.84,30.6,MACLEODS (PROCARE) AHT,KAB2002A,01-01-2024,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
AMLOVAS AT TAB,24,0,0,81,57.86,MACLEODS (PROCARE) HD,KAE915A,01-09-2022,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
AMLOVAS M 5/25,11,0,0,85.5,61.07,MACLEODS (PROCARE) CV,KAM901A,30-04-2021,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
AMPILOX 500MG CAP,18,5,1,75.9,54.21,BIOCHEM PHARMA,D901114,01-09-2021,ZYDUS HEALTHCARE LIMITED      HYDERABAD
AMPILOX 500MG CAP,150,5,1,75.9,54.21,BIOCHEM PHARMA,D901115,01-09-2021,ZYDUS HEALTHCARE LIMITED      HYDERABAD
AMPILOX-C 500MG VIAL,50,10,1,22.9,16.36,BIOCHEM PHARMA,D901085,01-09-2021,ZYDUS HEALTHCARE LIMITED      HYDERABAD
AMPILOX-C 500MG VIAL,50,10,1,20.9,14.93,BIOCHEM PHARMA,D900242,01-01-2021,ZYDUS HEALTHCARE LIMITED      HYDERABAD
AMPOXIN 1GM VIAL,60,10,1,32.9,23.5,TORRENT (UVA),IGJ5F002,01-11-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMPOXIN 250MG CAP,58,20,1,38.9,27.29,TORRENT (UVA),ZFU9F057,01-09-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMPOXIN 250MG CAP,2,20,1,42.75,30.54,TORRENT (UVA),ZFU9G008,01-12-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMPOXIN 250MG CAP,-2,20,1,42.75,30.54,TORRENT (UVA),MFU9G001,01-01-2022,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMPOXIN 250MG VIAL,100,10,1,20.39,14.56,TORRENT (UVA),ZGJ3F007,01-01-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMPOXIN 250MG VIAL,-3,10,1,20.39,14.57,TORRENT (UVA),2GJ3F008,01-05-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMPOXIN 250MG VIAL,3,10,1,22.4,16,TORRENT (UVA),IGJ3G001,01-12-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMPOXIN 500MG CAP,72,20,1,73.65,52.61,TORRENT (UVA),MFV10002,01-11-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMPOXIN 500MG VIAL,70,10,1,23.08,16.49,TORRENT (UVA),ZGJ4F062,01-10-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMPOXIN DRY SURUP,15,0,0,24.62,17.59,TORRENT (UVA),ZGJ7F023,01-10-2020,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMPOXIN KID TAB,1,0,0,26.38,18.84,TORRENT (UVA),ZFV7F016,01-04-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
AMPOXIN KID TAB,30,0,0,26.38,18.84,TORRENT (UVA),ZFV7F018,01-04-2021,TORRENT PHARMACEUTICALS LTD   HYDERABAD
ANAFORTAN AMP**,60,0,0,24.75,17.7,KHANDELWAL (RADON),APE0088,01-09-2021,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA
ANAFORTAN AMP**,20,0,0,24.75,17.69,KHANDELWAL (RADON),APE0086,01-08-2021,LAKSHMI BALAJI AGENCIES       HYDERABAD
ANAFORTAN TAB**,56,0,0,107.85,77.04,KHANDELWAL (RADON),KRE0163,01-04-2021,LAKSHMI BALAJI CORPORATION VIJAYAWADA
ANAFORTAN TAB**,4,0,0,107.85,77.04,KHANDELWAL (RADON),KRE0189,01-05-2021,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA
ANAFORTAN TAB**,-4,0,0,107.85,77.04,KHANDELWAL (RADON),KRF0010,01-07-2021,LAKSHMI VENKATESWARA PHARMACEU  NARASARAOPETA
ANASPAS TAB**,1,0,0,76.45,54.61,KHANDELWAL (RADON),KRE0002,01-12-2021,
ANASPAS TAB**,1,0,0,76.45,54.61,KHANDELWAL (RADON),KRE0089,01-03-2022,
ANDIAL TAB,25,9,1,21.6,16.2,VERITAZ HEALTHCARE LIMITED,SVADL1934,01-08-2022,VERITAZ HEALTHCARE LIMITED    HYDERABAD
ANDIAL TAB,590,9,1,21.6,16.2,VERITAZ HEALTHCARE LIMITED,SVADL1936,01-10-2022,VERITAZ HEALTHCARE LIMITED    HYDERABAD
ANDIAL TAB,10,9,1,21.6,16.2,VERITAZ HEALTHCARE LIMITED,SVADL1939,01-10-2022,VERITAZ HEALTHCARE LIMITED    HYDERABAD
ANGICAM 2.5MG TAB,30,0,0,15,10.71,BLUE-CROSS LABS,AG1911,01-08-2021,BLUE CROSS LABORATORIES PVT LTHYDERABAD
ANGICAM 5MG TAB,22,0,0,23,16.43,BLUE-CROSS LABS,AGT1937,01-10-2021,BLUE CROSS LABORATORIES PVT LTHYDERABAD
ANGICAM BETA TAB,26,0,0,31,22.14,BLUE-CROSS LABS,AGB2002,01-12-2021,BLUE CROSS LABORATORIES PVT LTHYDERABAD
ANO-METROGYL CREAM,6,0,0,100.44,71.75,J.B. CHE&PHARMA LIMITED  (DIVA),X7A9012,01-09-2021,J.B.CHEMICALS AND PHARMA      SECUNDERABAD
APTAMIL 1 INFANT FORMULA,19,0,0,705,543.14,NUTRICIA (DEXOLAC),2002106911,01-05-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
APTAMIL 1 JAR,21,0,0,705,543.14,NUTRICIA (DEXOLAC),2001096911,01-04-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
APTAMIL 2 INFANT FORMULA,13,0,0,705,543.14,NUTRICIA (DEXOLAC),1912266911,01-03-2021,NUTRICIA INTERNATIONAL PVT. LTSECUNDERABAD
APTAMIL 3 FOLLOW UP FORMULA,18,0,0,705,543.14,NUTRICIA (DEXOLAC),1911016911,01-02-2021,
APTIMUST SYRUP,4,5,1,110,78.57,MANKIND(FUTURE),A2AIS079,01-05-2021,MANKIND PHARMA (FUTURE)HYDERABAD
APTIMUST SYRUP,24,5,1,121,86.43,MANKIND(FUTURE),A2AIS140,01-11-2021,MANKIND PHARMA (FUTURE)HYDERABAD
ARGIPREG SACHET,18,10,2,39.2,28,MANKIND(LIFESTAR),A1AJS124,01-06-2021,
ARGIPREG SACHET,26,10,2,39.2,28,MANKIND(LIFESTAR),A1AJS161,01-07-2021,
ARISTOZYME CAP,10,0,0,61.5,43.93,ARISTO (MAIN FORCE-2),B59G059,01-11-2020,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
ARISTOZYME DROPS,100,0,0,50.75,36.25,ARISTO (MAIN FORCE-2),DPB200287,01-07-2021,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
ARISTOZYME SYR,33,0,0,95,67.86,ARISTO (MAIN FORCE-2),D78M069,01-05-2021,VIJAYA DURGA AGENCIES   VIJAYAWADA
ARISTOZYME SYR,100,0,0,95,67.86,ARISTO (MAIN FORCE-2),DPB200205,01-07-2021,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
ARISTOZYME SYR,50,0,0,95,67.86,ARISTO (MAIN FORCE-2),DPB200210,01-07-2021,ARISTO PHARMACEUTICALS PVT LTDHYDERABAD
ARK 75 MG TABS**,50,0,0,37.35,26.68,GENARAL COMPANY,AST19005,01-07-2022,LAKSHMI BALAJI CORPORATION VIJAYAWADA
ARKAMIN TAB,12,0,0,54.7,39.07,TORRENT (CV LIFE),AI0219084,01-09-2022,TORRENT PHARMACEUTICALS LTD   HYDERABAD
ARKAMIN-H TAB,21,0,0,19.56,13.97,TORRENT (CV LIFE),AR0219003,01-05-2022,
ASCORIL + SYR,8,14,1,109,77.86,GLNMARK(MAJESTA),11191748,01-08-2021,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
ASCORIL + SYR,300,14,1,115,82.14,GLNMARK(MAJESTA),5192304,30-11-2021,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
ASCORIL + SYR,311,14,1,109,77.86,GLNMARK(MAJESTA),11191956,01-09-2021,LAKSHMI BALAJI CORPORATION VIJAYAWADA
